City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Damietta,EG,2021-09-28 23:55:25,31.4165,31.8133,76.89,74,0,8.46
68,Busselton,AU,2021-09-28 23:55:25,-33.65,115.3333,58.05,75,87,14.16
69,Saint George,US,2021-09-28 23:52:22,37.1041,-113.5841,86.63,23,40,3.0
70,Nivala,FI,2021-09-28 23:55:25,63.9167,24.9667,39.69,97,30,4.47
71,Thompson,CA,2021-09-28 23:55:25,55.7435,-97.8558,64.56,45,20,9.22
72,Tazovskiy,RU,2021-09-28 23:55:26,67.4667,78.7,31.03,84,6,5.84
73,Khani,GE,2021-09-28 23:55:26,41.9563,42.9566,49.57,81,29,4.21
74,Haines Junction,CA,2021-09-28 23:55:26,60.7522,-137.5108,40.95,48,100,3.44
75,Bat Khela,PK,2021-09-28 23:55:27,34.6167,71.9714,74.79,62,1,5.68
76,Oranjestad,AW,2021-09-28 23:55:27,12.524,-70.027,85.95,80,20,3.0
77,Bajil,YE,2021-09-28 23:55:27,15.0584,43.2851,86.18,68,4,4.21
78,Khatanga,RU,2021-09-28 23:55:28,71.9667,102.5,27.21,70,100,8.05
79,Faanui,PF,2021-09-28 23:55:28,-16.4833,-151.75,79.41,73,78,14.7
80,Qeshm,IR,2021-09-28 23:55:28,26.9581,56.2719,84.09,72,10,0.25
81,Bilibino,RU,2021-09-28 23:55:28,68.0546,166.4372,15.66,87,97,2.91
82,San Jose De Colinas,HN,2021-09-28 23:55:29,15.0333,-88.3,91.45,97,57,2.53
83,Berlevag,NO,2021-09-28 23:55:29,70.8578,29.0864,50.2,68,58,14.0
84,Sitka,US,2021-09-28 23:55:07,57.0531,-135.33,51.62,62,99,6.55
85,Alta Floresta,BR,2021-09-28 23:55:29,-9.8756,-56.0861,70.66,96,77,4.79
86,Quime,BO,2021-09-28 23:55:30,-16.9833,-67.2167,53.55,82,58,3.85
87,Sonderborg,DK,2021-09-28 23:55:30,54.9093,9.8074,55.69,83,88,8.77
88,Liverpool,GB,2021-09-28 23:55:30,53.4106,-2.9779,51.75,87,0,1.01
89,Lorengau,PG,2021-09-28 23:55:30,-2.0226,147.2712,84.07,76,45,8.41
90,Puerto Ayacucho,VE,2021-09-28 23:55:31,5.6639,-67.6236,74.34,94,97,2.33
91,Narsaq,GL,2021-09-28 23:55:31,60.9167,-46.05,30.9,44,0,6.11
92,Formosa Do Rio Preto,BR,2021-09-28 23:55:32,-11.0483,-45.1931,81.64,37,67,1.57
93,Vestmannaeyjar,IS,2021-09-28 23:55:32,63.4427,-20.2734,39.87,86,100,32.55
94,Zunyi,CN,2021-09-28 23:55:33,27.6867,106.9072,63.91,87,7,1.9
95,Nicosia,CY,2021-09-28 23:55:33,35.1667,33.3667,69.49,88,20,4.61
96,Polunochnoye,RU,2021-09-28 23:55:33,60.8697,60.4153,27.84,93,93,2.46
97,Yulara,AU,2021-09-28 23:55:33,-25.2406,130.9889,62.44,48,0,12.66
98,Ponta Do Sol,PT,2021-09-28 23:55:34,32.6667,-17.1,75.0,75,88,5.88
99,Baiyin,CN,2021-09-28 23:55:34,36.5583,104.2081,50.88,42,37,0.34
100,Umm Lajj,SA,2021-09-28 23:55:34,25.0213,37.2685,79.02,63,0,11.1
101,Hirara,JP,2021-09-28 23:55:35,24.8,125.2833,84.47,89,40,9.22
102,Georgetown,MY,2021-09-28 23:55:35,5.4112,100.3354,76.98,95,40,1.99
103,Emba,KZ,2021-09-28 23:55:35,48.8264,58.1442,38.98,83,100,10.69
104,Tilichiki,RU,2021-09-28 23:55:36,60.4667,166.1,29.44,79,100,11.01
105,Merzifon,TR,2021-09-28 23:55:36,40.8733,35.4631,53.06,76,40,11.5
106,San Patricio,US,2021-09-28 23:55:36,28.017,-97.5169,88.48,66,59,17.83
107,Lavrentiya,RU,2021-09-28 23:55:36,65.5833,-171.0,33.87,74,100,9.53
