City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
122,Saint George,US,74.35,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
124,Muncar,ID,72.45,overcast clouds,-8.4333,114.3333,Zaky Homestay
127,Kelo,TD,79.41,overcast clouds,9.3086,15.8066,Plantation de Kelo
129,Shimoda,JP,64.11,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
130,Saint-Philippe,RE,72.99,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
132,Cape Town,ZA,61.21,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
133,Camacha,PT,71.02,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
134,Castro,BR,68.56,moderate rain,-24.7911,-50.0119,CHACARA BAILLY
135,Abtenau,AT,60.03,overcast clouds,47.5637,13.346,Genuß- und Vitalhotel Moisl
136,Tautira,PF,75.22,light rain,-17.7333,-149.15,Pension Oaoa
140,Wahiawa,US,73.76,broken clouds,21.5028,-158.0236,Aloha Wahiawa
141,Kanchanaburi,TH,77.25,light rain,14.6333,99.1,แพบุญศรี
142,Bantva,IN,78.55,few clouds,21.4864,70.0689,Rana Bai daga Bai
144,Winton,US,85.33,clear sky,37.3894,-120.6133,Applegate Inn
148,Paita,PE,81.16,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
150,Tamandare,BR,81.54,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
153,Eyl,SO,79.63,broken clouds,7.9803,49.8164,Amiin Hotel
156,Sayyan,YE,69.76,overcast clouds,15.1718,44.3244,متنزه و بحيرة سيان
157,Rio Negrinho,BR,63.95,overcast clouds,-26.2544,-49.5183,Pousada do Cassio
158,Tefe,BR,89.71,few clouds,-3.3542,-64.7114,Aracati Hotel
160,Wilmington,US,84.92,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
162,Arraial Do Cabo,BR,75.06,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
163,Airai,TL,60.53,overcast clouds,-8.9266,125.4092,Juvinal Martin
164,Port Elizabeth,ZA,61.11,light rain,-33.918,25.5701,39 On Nile Guest House
165,Flin Flon,CA,62.44,scattered clouds,54.7682,-101.865,Victoria Inn Flin Flon
166,Lakhimpur,IN,78.75,overcast clouds,27.95,80.7667,Hotel Sarna
169,Noumea,NC,77.0,moderate rain,-22.2763,166.4572,Hôtel Le Lagon
170,Broome,US,62.02,overcast clouds,42.2506,-75.833,Chenango Valley State Park
171,Havelock,US,80.98,broken clouds,34.8791,-76.9013,Sherwood Motel
172,Gizo,SB,81.57,overcast clouds,-8.103,156.8419,Imagination Island
174,Itarema,BR,86.7,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
175,Ponta Do Sol,PT,77.13,clear sky,32.6667,-17.1,Hotel do Campo
176,Souillac,MU,73.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
178,Manggar,ID,76.91,overcast clouds,-2.8833,108.2667,Guest Hotel
181,Viedma,AR,67.08,clear sky,-40.8135,-62.9967,Hotel Cristal
184,Jamestown,US,65.17,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
185,Bengkulu,ID,76.77,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
189,Bubaque,GW,83.59,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
193,Palu,ID,75.33,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
196,Mayo,US,72.39,clear sky,38.8876,-76.5119,Resorts Resource Group International
197,Melchor De Mencos,GT,89.6,few clouds,17.0686,-89.1522,Xultun Farm
