City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Changli,CN,39.7042,119.1506,58.32,74,2,3.69,light rain
80,Dingle,PH,10.9995,122.6711,75.76,91,100,1.9,overcast clouds
81,Butaritari,KI,3.0707,172.7902,81.18,78,100,11.92,overcast clouds
82,Darnah,LY,32.767,22.6367,71.8,63,0,22.44,clear sky
83,Finnsnes,NO,69.2296,17.9811,50.61,75,52,6.29,broken clouds
84,Port Said,EG,31.2565,32.2841,76.17,72,0,13.11,clear sky
85,Bambous Virieux,MU,-20.3428,57.7575,73.22,78,75,12.66,broken clouds
86,Cidreira,BR,-30.1811,-50.2056,72.54,78,100,11.27,overcast clouds
87,Jinotega,NI,13.0917,-86.0018,78.03,59,11,5.35,few clouds
88,Katsuura,JP,35.1333,140.3,64.51,76,50,9.53,scattered clouds
89,Bilma,NE,18.6853,12.9164,91.04,11,2,3.36,clear sky
90,Chokurdakh,RU,70.6333,147.9167,7.65,94,22,5.95,few clouds
91,Hilo,US,19.7297,-155.09,72.39,87,75,6.91,light rain
92,Amahai,ID,-3.3333,128.9167,77.4,86,100,1.74,overcast clouds
93,Upernavik,GL,72.7868,-56.1549,35.06,74,96,29.82,overcast clouds
94,Aykhal,RU,66.0,111.5,27.32,57,59,2.46,broken clouds
95,Saint-Pierre,RE,-21.3393,55.4781,73.08,73,75,10.36,broken clouds
96,Puerto Leguizamo,CO,-0.1934,-74.7819,92.52,45,98,1.32,overcast clouds
97,Barra Patuca,HN,15.8,-84.2833,84.33,71,29,5.75,scattered clouds
98,Sawtell,AU,-30.3833,153.1,57.22,86,84,4.61,broken clouds
99,Laguna,US,38.421,-121.4238,83.01,35,1,1.01,clear sky
100,Thompson,CA,55.7435,-97.8558,60.96,63,20,8.05,few clouds
101,Gari,RU,59.4307,62.3497,32.13,80,53,3.27,broken clouds
102,Nouakchott,MR,18.0858,-15.9785,84.13,69,2,13.06,clear sky
103,Ust-Tsilma,RU,65.441,52.1498,34.56,87,46,1.3,scattered clouds
104,Carnarvon,AU,-24.8667,113.6333,64.47,59,40,19.57,scattered clouds
105,Khatanga,RU,71.9667,102.5,27.27,98,99,2.33,overcast clouds
106,Conceicao Do Araguaia,BR,-8.2578,-49.2647,97.7,29,64,11.92,broken clouds
107,Rovenki,UA,48.0833,39.3776,46.31,51,5,7.05,clear sky
108,Hithadhoo,MV,-0.6,73.0833,82.87,70,27,7.31,scattered clouds
109,Aswan,EG,24.0934,32.907,88.61,21,0,10.98,clear sky
110,Susanville,US,40.4163,-120.653,63.09,27,36,1.01,scattered clouds
111,Naze,JP,28.3667,129.4833,76.28,70,7,12.86,clear sky
112,Sefophe,BW,-22.1833,27.9667,77.5,50,75,11.5,broken clouds
